type_projet,surface_m2,budget,localisation,categorie_produit,type_produit,marque,prix_unitaire,qualite,popularite,quantite,prix_total,score_global
maison,281,145168,Mahdia,quincaillerie,vis,Rawlplug,0.94,4,43,299,281.06,92.81
maison,220,165559,Zaghouan,plomberie,chauffe_eau,Ariston,334.5,4,74,2,669.0,68.75
maison,157,94217,Kasserine,maconnerie,ciment,Sibline,19.77,4,49,62,1225.74,92.72
maison,497,217138,Ben Arous,plomberie,raccord,Pipelife,27.35,4,65,7,191.45,96.76
maison,462,300000,Kairouan,etancheite,bitume,Sika,34.43,4,92,2,68.86,100.0
immeuble,64,52829,Jendouba,peinture,pinceau,LocalTool,23.58,3,49,5,117.9,72.34
immeuble,298,219810,Gafsa,maconnerie,sable,LocalSand,27.15,5,77,79,2144.85,100.0
maison,56,24510,Kasserine,maconnerie,gravier,GraviereTunis,69.59,2,24,8,556.72,40.24
maison,480,300000,Tunis,maconnerie,sable,LocalSand,30.03,4,69,129,3873.87,97.7
immeuble,407,300000,Tozeur,peinture,pinceau,OutilTunis,17.25,4,56,5,86.25,95.08
renovation,91,53735,Tunis,peinture,vernis,LocalVernis,64.21,3,32,11,706.31,63.18
immeuble,272,261999,Kairouan,plomberie,tuyau,LocalPlomb,5.56,3,63,128,711.68,78.34
maison,488,300000,Gabes,plomberie,siphon,Geberit,15.52,4,72,5,77.6,100.0
maison,277,206419,Nabeul,quincaillerie,cheville,Fischer,1.2,4,63,499,598.8,98.78
renovation,292,155571,Tozeur,etancheite,bitume,Sika,23.37,5,91,6,140.22,100.0
immeuble,290,213948,Sfax,isolation,laine_verre,Isover,13.08,4,73,272,3557.76,100.0
maison,266,184098,Gafsa,electricite,cable,LocalCable,4.71,3,60,371,1747.41,77.53
maison,95,45260,Tozeur,quincaillerie,cheville,Fischer,0.68,3,65,105,71.4,79.43
immeuble,309,300000,Gafsa,maconnerie,brique,SOTEMAIL,1.17,5,57,2876,3364.92,100.0
renovation,139,81669,Tunis,electricite,tableau_electrique,Schneider,140.75,4,61,2,281.5,84.22
immeuble,195,220330,Sfax,quincaillerie,vis,Fischer,0.73,5,78,340,248.2,100.0
renovation,473,123746,Mahdia,etancheite,hydrofuge,Sika,23.11,4,86,2,46.22,100.0
immeuble,459,300000,Sidi Bouzid,etancheite,hydrofuge,LocalHyd,39.05,4,53,5,195.25,92.0
immeuble,295,300000,Gabes,revetement,joint,LocalJoint,11.93,4,70,30,357.9,99.81
immeuble,389,300000,Tunis,menuiserie,fenetre,FenetrePro,646.71,4,61,20,12934.2,33.63
renovation,409,119396,Beja,quincaillerie,clou,LocalClou,0.32,2,43,416,133.12,52.87
immeuble,152,133012,Bizerte,peinture,vernis,Ripolin,25.64,4,60,16,410.24,95.44
maison,466,300000,Zaghouan,maconnerie,parpaing,LocalBlock,2.97,5,76,1014,3011.58,100.0
immeuble,134,160806,Gafsa,isolation,polystyrene,LocalPoly,16.34,3,55,102,1666.68,74.87
renovation,466,218355,Kasserine,plomberie,tuyau,LocalPlomb,6.07,4,66,191,1159.37,99.19
maison,483,229102,Gafsa,revetement,faience,LocalFaien,82.26,4,50,388,31916.88,86.77
maison,331,194913,Kairouan,etancheite,silicone,Bostik,11.28,4,69,4,45.12,99.57
maison,200,87550,Ben Arous,electricite,disjoncteur,Siemens,61.02,3,50,3,183.06,68.9
maison,298,157029,Tozeur,etancheite,bitume,Sika,59.3,4,73,3,177.9,95.97
renovation,484,240852,Kef,isolation,mousse_isolante,Knauf,18.38,3,59,104,1911.52,75.86
immeuble,460,300000,Ariana,plomberie,raccord,Pipelife,19.35,4,67,9,174.15,98.16
maison,441,283878,Kef,isolation,mousse_isolante,Sika,48.04,5,79,63,3026.52,100.0
immeuble,287,197698,Bizerte,revetement,marbre,SOTEMAIL,204.53,4,47,304,62177.12,73.65
immeuble,111,179183,Mahdia,electricite,interrupteur,Legrand,21.74,4,52,31,673.94,93.43
renovation,133,52427,Tataouine,plomberie,chauffe_eau,Ariston,1214.24,4,42,2,2428.48,0.0
maison,171,114556,Gabes,plomberie,raccord,LocalPlomb,31.54,3,40,6,189.24,68.85
maison,273,203166,Zaghouan,quincaillerie,cheville,LocalChev,1.23,4,58,284,349.32,97.28
maison,406,300000,Kasserine,etancheite,silicone,LocalSil,20.14,3,52,4,80.56,73.59
maison,352,148573,Kairouan,maconnerie,sable,LocalSand,34.16,3,49,48,1639.68,71.28
maison,263,218558,Monastir,plomberie,robinet,LocalRobi,110.14,3,45,2,220.28,62.49
renovation,232,143598,Manouba,quincaillerie,clou,Fischer,0.44,5,84,261,114.84,100.0
renovation,444,286035,Ben Arous,isolation,laine_roche,Rockwool,44.56,5,62,484,21567.04,100.0
maison,201,132913,Tunis,etancheite,membrane_etanche,LocalMemb,33.11,3,56,179,5926.69,73.49
renovation,242,120349,Beja,plomberie,robinet,Grohe,134.44,5,77,5,672.2,100.0
maison,385,166509,Mahdia,menuiserie,serrure,LocalSerr,34.2,4,78,2,68.4,99.98
maison,76,67225,Kasserine,maconnerie,brique,BriqueLocal,0.76,2,46,1138,864.88,53.72
maison,150,100273,Nabeul,peinture,pinceau,PaintPro,13.45,3,59,2,26.9,76.36
immeuble,415,300000,Ariana,etancheite,hydrofuge,LocalHyd,14.57,5,94,2,29.14,100.0
immeuble,273,292602,Ben Arous,etancheite,hydrofuge,Weber,40.99,5,58,3,122.97,100.0
maison,200,103869,Tataouine,electricite,interrupteur,LocalElec,17.31,3,42,53,917.43,70.87
renovation,153,65431,Ariana,etancheite,membrane_etanche,Sika,28.72,4,66,134,3848.48,96.93
maison,401,181849,Monastir,quincaillerie,boulon,Rawlplug,2.57,5,64,245,629.65,100.0
renovation,125,83879,Gafsa,maconnerie,sable,CarriereTunis,60.45,3,42,28,1692.6,66.55
renovation,79,43932,Gabes,peinture,vernis,LocalVernis,43.97,2,49,5,219.85,50.3
immeuble,398,267513,Ben Arous,maconnerie,parpaing,ParpaingPro,4.44,4,44,1184,5256.96,92.76
immeuble,153,94933,Kebili,peinture,vernis,LocalVernis,41.42,2,38,9,372.78,47.26
immeuble,393,300000,Tataouine,etancheite,hydrofuge,Weber,38.12,3,45,6,228.72,69.69
immeuble,151,124860,Tataouine,quincaillerie,clou,LocalClou,0.41,3,53,165,67.65,75.86
renovation,363,268145,Mahdia,revetement,gres,SOTEMAIL,47.78,4,66,381,18204.18,95.02
immeuble,197,164877,Jendouba,maconnerie,gravier,CarriereNabeul,43.69,5,67,27,1179.63,100.0
maison,479,221350,Sousse,quincaillerie,clou,Fischer,0.09,5,95,815,73.35,100.0
renovation,348,188040,Gafsa,plomberie,tuyau,GF,12.14,4,57,211,2561.54,95.89
immeuble,201,180799,Tozeur,plomberie,raccord,GF,5.72,4,68,3,17.16,99.83
maison,82,34056,Tunis,peinture,rouleau,LocalTool,24.15,2,27,4,96.6,45.68
maison,281,195022,Tataouine,electricite,interrupteur,Schneider,21.26,5,74,67,1424.42,100.0
maison,380,176997,Mahdia,menuiserie,fenetre,FenetrePro,976.74,3,39,27,26371.98,0.0
renovation,212,85898,Ariana,plomberie,siphon,Geberit,17.91,5,67,6,107.46,100.0
renovation,249,101990,Beja,etancheite,membrane_etanche,Sika,39.17,4,69,194,7598.98,96.78
renovation,349,205093,Beja,etancheite,hydrofuge,LocalHyd,36.62,3,43,5,183.1,69.24
renovation,151,40271,Tunis,maconnerie,brique,BriqueTunis,1.09,2,43,1549,1688.41,52.79
renovation,255,124868,Beja,etancheite,hydrofuge,LocalHyd,14.52,2,47,6,87.12,52.65
maison,250,208517,Gafsa,electricite,cable,LocalCable,8.01,5,60,459,3676.59,100.0
maison,360,265772,Gabes,peinture,pinceau,PaintPro,7.83,5,85,4,31.32,100.0
maison,90,48990,Bizerte,quincaillerie,vis,Fischer,0.49,3,61,103,50.47,78.25
immeuble,342,300000,Monastir,peinture,enduit,Weber,33.12,3,55,37,1225.44,73.19
immeuble,392,300000,Mahdia,electricite,interrupteur,Legrand,22.03,4,65,105,2313.15,97.3
immeuble,373,300000,Tozeur,isolation,mousse_isolante,LocalMousse,22.61,3,49,73,1650.53,72.44
maison,178,98548,Siliana,peinture,enduit,Weber,42.4,3,41,11,466.4,68.06
renovation,437,207037,Kebili,maconnerie,sable,Sibline,36.29,4,66,47,1705.63,96.17
renovation,51,27779,Nabeul,quincaillerie,vis,LocalVis,0.61,2,37,43,26.23,51.04
renovation,433,288225,Gabes,menuiserie,fenetre,AluminiumPro,490.3,4,56,24,11767.2,47.77
maison,339,238502,Bizerte,quincaillerie,clou,Fischer,0.4,4,70,375,150.0,100.0
maison,57,32521,Kef,peinture,rouleau,PaintPro,12.96,3,50,5,64.8,73.7
maison,152,87779,Manouba,quincaillerie,vis,Rawlplug,0.67,3,51,211,141.37,75.23
maison,256,126761,Ariana,peinture,vernis,Jotun,71.64,4,66,27,1934.28,92.64
renovation,390,133367,Tozeur,peinture,peinture_murale,LocalPaint,120.83,2,40,77,9303.91,39.92
maison,352,157155,Gafsa,electricite,cable,Nexans,9.25,4,49,392,3626.0,93.78
maison,206,107022,Tunis,plomberie,chauffe_eau,Atlantic,801.12,5,79,1,801.12,43.59
maison,226,147030,Kasserine,electricite,disjoncteur,Schneider,56.29,5,69,3,168.87,100.0
maison,60,28613,Ben Arous,quincaillerie,clou,Fischer,0.43,2,48,84,36.12,54.36
immeuble,128,126624,Jendouba,quincaillerie,clou,Fischer,0.08,4,76,249,19.92,100.0
immeuble,445,300000,Bizerte,electricite,interrupteur,LocalElec,7.07,3,57,177,1251.39,76.39
maison,244,118421,Tataouine,maconnerie,parpaing,LocalBlock,2.23,3,50,597,1331.31,74.78
maison,331,219625,Monastir,electricite,tableau_electrique,Hager,146.13,5,78,3,438.39,100.0
immeuble,162,116094,Sousse,quincaillerie,clou,LocalClou,0.1,2,59,139,13.9,57.69
maison,69,40413,Kasserine,peinture,pinceau,PaintPro,9.23,2,52,5,46.15,54.68
maison,227,142947,Tataouine,electricite,tableau_electrique,Legrand,287.03,5,71,2,574.06,92.6
immeuble,164,241173,Tozeur,electricite,prise,Schneider,19.58,4,72,54,1057.32,99.64
maison,67,51797,Tunis,quincaillerie,cheville,LocalChev,0.24,2,53,63,15.12,55.88
renovation,403,164301,Sfax,revetement,marbre,MarbreTunis,99.71,4,71,478,47661.38,91.33
renovation,104,65289,Nabeul,maconnerie,sable,CarriereTunis,29.6,3,59,30,888.0,74.74
maison,465,300000,Ariana,maconnerie,sable,LocalSand,28.73,3,66,71,2039.83,76.93
renovation,450,209157,Tozeur,isolation,laine_verre,Isover,20.43,4,53,395,8069.85,93.86
renovation,194,95618,Jendouba,electricite,disjoncteur,Schneider,72.22,4,61,1,72.22,91.08
maison,316,206720,Gafsa,plomberie,siphon,Wirquin,37.68,4,46,3,113.04,90.03
maison,447,240911,Ben Arous,electricite,prise,Legrand,22.13,4,56,154,3408.02,94.59
immeuble,428,300000,Ariana,peinture,peinture_murale,LocalPaint,128.62,3,51,54,6945.48,62.44
immeuble,317,288969,Mahdia,isolation,laine_verre,Knauf,22.82,4,60,266,6070.12,95.72
maison,311,211710,Manouba,etancheite,bitume,Bostik,41.51,4,63,2,83.02,94.75
immeuble,492,300000,Gabes,menuiserie,porte,LocalWood,249.12,5,68,20,4982.4,95.49
immeuble,336,300000,Sousse,isolation,laine_verre,Knauf,20.28,3,56,205,4157.4,74.77
maison,364,300000,Gabes,peinture,enduit,Sika,58.58,4,74,34,1991.72,96.34
immeuble,86,104936,Tunis,maconnerie,parpaing,LocalBlock,1.97,2,40,248,488.56,51.8
immeuble,177,131318,Kef,electricite,disjoncteur,Schneider,72.56,4,64,1,72.56,91.94
immeuble,235,258822,Sidi Bouzid,etancheite,silicone,LocalSil,21.15,4,52,4,84.6,93.48
renovation,139,69456,Tataouine,peinture,peinture_murale,Jotun,55.52,4,81,25,1388.0,98.75
maison,152,91502,Bizerte,maconnerie,ciment,Holcim,20.09,3,51,52,1044.68,73.29
maison,351,221532,Kairouan,plomberie,siphon,LocalPlomb,20.31,4,58,3,60.93,95.37
renovation,443,261903,Medenine,revetement,colle_carrelage,LocalColle,25.18,5,51,56,1410.08,100.0
immeuble,204,167001,Ben Arous,revetement,faience,LocalFaien,82.48,3,46,196,16166.08,65.55
maison,336,268449,Siliana,etancheite,bitume,Bostik,36.34,4,55,7,254.38,92.87
immeuble,113,76280,Sfax,peinture,enduit,LocalEnduit,29.79,3,63,14,417.06,75.92
renovation,268,106621,Ariana,peinture,rouleau,PaintPro,26.6,4,39,2,53.2,89.04
immeuble,144,167977,Nabeul,menuiserie,fenetre,FenetrePro,742.63,4,56,6,4455.78,22.54
renovation,446,183896,Kebili,maconnerie,gravier,LocalStone,31.17,4,75,99,3085.83,99.38
renovation,430,116827,Kairouan,electricite,disjoncteur,Siemens,54.38,4,65,1,54.38,94.06
renovation,84,44696,Siliana,quincaillerie,cheville,LocalChev,0.26,3,53,71,18.46,75.87
renovation,167,119082,Tozeur,plomberie,chauffe_eau,Atlantic,734.84,4,70,1,734.84,27.52
immeuble,266,167233,Kef,revetement,joint,Weber,10.33,4,67,38,392.54,99.07
renovation,333,181405,Medenine,etancheite,bitume,Sika,43.72,4,68,3,131.16,96.03
renovation,379,141084,Mahdia,electricite,cable,Nexans,6.83,3,54,412,2813.96,75.52
immeuble,243,237587,Tataouine,peinture,pinceau,PaintPro,15.01,4,68,6,90.06,98.9
maison,61,45580,Mahdia,quincaillerie,boulon,Fischer,5.19,3,57,35,181.65,76.58
renovation,281,87946,Jendouba,plomberie,raccord,GF,15.45,3,62,5,77.25,77.05
immeuble,213,167573,Mahdia,plomberie,raccord,GF,37.87,4,45,4,151.48,89.71
maison,292,241503,Kasserine,etancheite,silicone,Sika,14.6,4,63,7,102.2,97.44
maison,419,278970,Monastir,isolation,laine_verre,LocalIso,19.96,4,57,334,6666.64,95.1
maison,372,261870,Kairouan,maconnerie,gravier,CarriereNabeul,66.31,4,43,56,3713.36,86.27
renovation,443,194887,Tunis,menuiserie,fenetre,AluminiumPro,344.41,3,65,21,7232.61,45.06
renovation,341,232813,Jendouba,electricite,prise,Schneider,7.66,4,95,96,735.36,100.0
immeuble,55,48259,Tunis,peinture,pinceau,LocalTool,5.83,2,56,5,29.15,56.22
immeuble,232,166349,Sousse,electricite,prise,LocalElec,21.02,4,59,56,1177.12,95.6
maison,287,188226,Sfax,isolation,mousse_isolante,Sika,59.85,4,52,65,3890.25,89.62
immeuble,318,269076,Mahdia,electricite,interrupteur,Schneider,15.94,4,76,87,1386.78,100.0
renovation,144,87851,Gabes,electricite,prise,Legrand,17.11,4,75,56,958.16,100.0
immeuble,422,300000,Siliana,menuiserie,porte,PortePro,870.48,4,43,10,8704.8,5.85
renovation,248,86068,Gabes,electricite,cable,Nexans,4.88,4,64,301,1468.88,98.71
maison,250,178279,Bizerte,menuiserie,bois,BoisTunis,321.42,4,46,17,5464.14,61.66
maison,264,177279,Gabes,peinture,vernis,LocalVernis,34.16,4,66,14,478.24,96.38
immeuble,475,300000,Kairouan,menuiserie,fenetre,FenetrePro,618.16,5,74,22,13599.52,60.38
maison,492,297065,Gabes,menuiserie,serrure,LocalSerr,32.31,5,80,5,161.55,100.0
renovation,63,34060,Tozeur,quincaillerie,boulon,Fischer,4.68,2,44,26,121.68,52.73
immeuble,481,300000,Mahdia,maconnerie,brique,BriqueTunis,0.71,5,80,6615,4696.65,100.0
maison,431,300000,Mahdia,isolation,laine_verre,Knauf,11.22,4,75,282,3164.04,100.0
maison,364,146708,Gabes,plomberie,robinet,Grohe,113.96,4,63,2,227.92,87.5
immeuble,176,274223,Tozeur,revetement,colle_carrelage,LocalColle,17.26,4,57,15,258.9,95.37
maison,374,300000,Zaghouan,menuiserie,aluminium,AluTunis,186.55,4,57,38,7088.9,78.44
renovation,375,130502,Ariana,electricite,disjoncteur,Siemens,26.1,3,49,2,52.2,72.09
immeuble,368,297067,Nabeul,revetement,colle_carrelage,Weber,13.01,4,68,50,650.5,99.1
immeuble,452,300000,Kairouan,etancheite,hydrofuge,LocalHyd,16.81,4,57,6,100.86,95.42
maison,444,218183,Kebili,maconnerie,parpaing,LocalBlock,3.37,5,64,735,2476.95,100.0
maison,264,120249,Kef,plomberie,raccord,Pipelife,7.02,4,63,8,56.16,98.2
maison,442,300000,Gafsa,maconnerie,parpaing,ParpaingPro,3.21,4,67,1151,3694.71,99.78
maison,357,226365,Tunis,menuiserie,serrure,LocalSerr,45.23,4,56,5,226.15,92.28
immeuble,58,41038,Ben Arous,peinture,peinture_murale,Jotun,132.21,3,58,9,1189.89,64.18
renovation,149,64440,Gafsa,quincaillerie,clou,LocalClou,0.18,2,47,148,26.64,54.08
renovation,206,60426,Bizerte,quincaillerie,boulon,Fischer,5.56,5,73,138,767.28,100.0
immeuble,118,177284,Ariana,electricite,interrupteur,Legrand,24.33,5,81,40,973.2,100.0
renovation,303,143937,Beja,electricite,cable,Legrand,9.61,5,73,434,4170.74,100.0
renovation,167,91678,Kebili,etancheite,hydrofuge,Sika,51.65,4,62,2,103.3,93.43
immeuble,237,236197,Tataouine,peinture,vernis,Jotun,56.48,4,70,16,903.68,95.35
renovation,407,208990,Sousse,quincaillerie,boulon,LocalBoul,2.85,3,48,193,550.05,74.12
immeuble,330,300000,Gabes,electricite,cable,LocalCable,5.35,5,64,570,3049.5,100.0
renovation,350,131836,Gafsa,quincaillerie,clou,Fischer,0.52,4,61,597,310.44,98.25
immeuble,282,300000,Ben Arous,menuiserie,porte,MenuiserieTunis,512.78,5,67,8,4102.24,68.82
maison,64,27446,Monastir,peinture,vernis,Ripolin,60.6,2,45,8,484.8,47.44
immeuble,464,300000,Bizerte,quincaillerie,vis,Fischer,0.15,5,92,636,95.4,100.0
renovation,197,92366,Monastir,electricite,tableau_electrique,Legrand,274.27,4,52,1,274.27,68.17
renovation,64,31348,Siliana,peinture,pinceau,LocalTool,13.15,2,36,6,78.9,49.48
maison,258,109057,Medenine,quincaillerie,vis,LocalVis,0.19,2,53,331,62.89,55.88
renovation,141,41048,Gabes,quincaillerie,cheville,Fischer,1.68,3,43,159,267.12,72.73
maison,164,87857,Kairouan,plomberie,raccord,LocalPlomb,12.01,2,50,5,60.05,53.8
renovation,171,71470,Zaghouan,etancheite,membrane_etanche,Sika,42.32,5,77,111,4697.52,100.0
maison,470,300000,Mahdia,isolation,polystyrene,Isover,35.13,4,44,471,16546.23,89.69
maison,146,106955,Tataouine,plomberie,tuyau,LocalPlomb,15.08,3,47,66,995.28,72.59
immeuble,57,58597,Kef,electricite,cable,Legrand,9.69,4,65,93,901.17,98.53
maison,277,210305,Sousse,etancheite,membrane_etanche,Bostik,31.95,4,56,209,6677.55,93.6
immeuble,353,300000,Kebili,isolation,polystyrene,Isover,30.39,4,49,308,9360.12,91.66
renovation,136,79714,Sfax,maconnerie,parpaing,LocalBlock,2.72,2,36,272,739.84,50.53
immeuble,218,300000,Gafsa,isolation,polystyrene,LocalPoly,13.87,4,76,160,2219.2,100.0
immeuble,253,288310,Sfax,quincaillerie,vis,Rawlplug,0.7,4,56,204,142.8,96.73
immeuble,179,257477,Bizerte,isolation,polystyrene,LocalPoly,11.09,4,66,163,1807.67,98.69
immeuble,367,300000,Nabeul,maconnerie,ciment,LocalCement,15.05,3,64,127,1911.35,77.7
maison,141,97824,Ariana,etancheite,membrane_etanche,Sika,37.47,4,75,116,4346.52,98.75
maison,328,252462,Sousse,revetement,carrelage,CarrelagePro,19.07,5,75,300,5721.0,100.0
maison,281,173993,Gabes,etancheite,hydrofuge,Sika,42.36,4,68,6,254.16,96.16
renovation,210,46134,Ariana,peinture,pinceau,PaintPro,22.93,3,48,7,160.51,72.11
renovation,272,131621,Ben Arous,electricite,cable,LocalCable,7.49,2,38,518,3879.82,50.65
maison,440,300000,Sfax,quincaillerie,clou,LocalClou,0.22,4,73,512,112.64,100.0
immeuble,421,300000,Jendouba,menuiserie,serrure,LocalSerr,53.34,4,52,4,213.36,90.27
maison,81,39918,Tataouine,quincaillerie,cheville,LocalChev,1.09,2,37,70,76.3,50.99
maison,384,168314,Kebili,quincaillerie,vis,LocalVis,0.29,4,59,348,100.92,97.67
maison,227,153607,Ben Arous,isolation,laine_roche,Rockwool,51.67,5,53,186,9610.62,100.0
maison,257,155625,Kef,menuiserie,serrure,Yale,98.42,5,57,4,393.68,100.0
immeuble,124,146056,Zaghouan,peinture,enduit,Weber,37.53,3,45,11,412.83,69.75
renovation,387,263639,Nabeul,maconnerie,ciment,LocalCement,19.29,4,50,179,3452.91,93.07
renovation,102,40044,Monastir,quincaillerie,vis,LocalVis,0.19,3,66,169,32.11,79.78
renovation,263,145686,Kairouan,maconnerie,parpaing,ParpaingPro,3.38,4,53,585,1977.3,95.56
maison,289,189376,Gabes,electricite,cable,Nexans,5.35,4,56,328,1754.8,96.26
immeuble,266,234301,Siliana,menuiserie,porte,PortePro,202.88,5,75,9,1825.92,100.0
renovation,81,49807,Tozeur,quincaillerie,boulon,LocalBoul,2.03,2,46,56,113.68,53.6
renovation,412,250842,Manouba,etancheite,membrane_etanche,Bostik,33.51,5,64,250,8377.5,100.0
maison,224,163798,Sousse,maconnerie,brique,BriqueTunis,1.03,4,59,2535,2611.05,97.6
immeuble,224,209677,Jendouba,electricite,interrupteur,Schneider,15.67,5,90,79,1237.93,100.0
immeuble,362,300000,Tunis,peinture,vernis,Jotun,42.37,5,83,46,1949.02,100.0
immeuble,365,300000,Tunis,peinture,pinceau,PaintPro,26.94,5,52,4,107.76,100.0
renovation,456,300000,Ariana,etancheite,silicone,Sika,19.55,5,90,6,117.3,100.0
maison,260,178251,Kairouan,maconnerie,brique,BriqueLocal,0.71,4,64,2502,1776.42,99.13
immeuble,368,266510,Bizerte,plomberie,chauffe_eau,Ariston,1295.36,5,62,1,1295.36,0.0
renovation,311,198943,Bizerte,electricite,interrupteur,Legrand,20.37,5,84,82,1670.34,100.0
renovation,425,230175,Kebili,isolation,polystyrene,Styrodur,24.51,4,63,372,9117.72,96.45
renovation,320,133595,Gafsa,electricite,cable,Nexans,9.18,3,41,321,2946.78,71.38
immeuble,359,300000,Jendouba,electricite,tableau_electrique,Legrand,160.52,4,64,1,160.52,83.15
immeuble,462,300000,Kef,isolation,mousse_isolante,Sika,69.57,5,58,57,3965.49,100.0
maison,330,292608,Mahdia,peinture,rouleau,LocalTool,12.5,4,64,5,62.5,97.95
immeuble,153,137363,Zaghouan,peinture,pinceau,OutilTunis,22.1,3,37,2,44.2,68.89
maison,154,71585,Monastir,peinture,peinture_murale,Jotun,86.93,5,87,26,2260.18,100.0
renovation,94,65346,Kef,etancheite,membrane_etanche,Bostik,39.89,3,53,64,2552.96,71.91
maison,257,142180,Tozeur,electricite,tableau_electrique,Schneider,193.54,5,81,3,580.62,100.0
renovation,106,63735,Mahdia,peinture,vernis,LocalVernis,47.29,3,45,12,567.48,68.77
immeuble,105,120598,Mahdia,quincaillerie,vis,Fischer,1.02,4,70,189,192.78,100.0
maison,384,207247,Sousse,etancheite,hydrofuge,Sika,26.24,5,95,7,183.68,100.0
maison,404,212665,Zaghouan,plomberie,chauffe_eau,Ariston,1101.11,5,63,1,1101.11,8.79
renovation,315,198380,Zaghouan,electricite,cable,Nexans,3.75,4,75,341,1278.75,100.0
renovation,181,56448,Jendouba,quincaillerie,vis,Fischer,0.9,4,69,281,252.9,100.0
immeuble,423,251369,Tataouine,isolation,laine_verre,LocalIso,21.42,3,48,261,5590.62,72.26
immeuble,499,300000,Kairouan,quincaillerie,boulon,LocalBoul,2.87,5,66,308,883.96,100.0
renovation,388,159145,Tataouine,peinture,vernis,Jotun,26.1,5,93,32,835.2,100.0
renovation,68,39022,Sousse,peinture,rouleau,PaintPro,17.67,3,46,4,70.68,72.03
immeuble,372,300000,Kef,plomberie,robinet,LocalRobi,43.56,5,91,4,174.24,100.0
immeuble,468,256896,Kairouan,etancheite,hydrofuge,LocalHyd,19.43,3,64,4,77.72,77.26
immeuble,129,91178,Kairouan,maconnerie,brique,BriqueTunis,0.93,4,66,1840,1711.2,99.71
renovation,184,60085,Ariana,etancheite,silicone,Bostik,20.83,3,37,4,83.32,69.02
maison,272,149592,Medenine,etancheite,membrane_etanche,Sika,39.77,4,63,192,7635.84,94.92
maison,420,286987,Tozeur,plomberie,robinet,IdealStandard,67.03,4,63,4,268.12,92.2
renovation,492,133198,Kairouan,electricite,cable,LocalCable,6.16,2,46,728,4484.48,53.18
